map: tests/3.in
run_time 0.073509
n_generations: 1000
n_threads: 1
map: tests/4.in
run_time 0.000600
n_generations: 1000
n_threads: 1
map: tests/5.in
run_time 0.001107
n_generations: 1000
n_threads: 1
map: tests/6.in
run_time 0.000457
n_generations: 1000
n_threads: 1
map: tests/7.in
run_time 0.067128
n_generations: 1000
n_threads: 1
map: tests/8.in
run_time 0.068262
n_generations: 1000
n_threads: 1
map: tests/9.in
run_time 0.065888
n_generations: 1000
n_threads: 1
map: tests/10.in
run_time 0.077667
n_generations: 1000
n_threads: 1
map: tests/11.in
run_time 0.320796
n_generations: 1000
n_threads: 1
map: tests/12.in
run_time 2.469349
n_generations: 1000
n_threads: 2
map: tests/1.in
run_time 0.001094
n_generations: 1000
n_threads: 2
map: tests/2.in
run_time 0.001101
n_generations: 1000
n_threads: 2
map: tests/3.in
run_time 0.029204
n_generations: 1000
n_threads: 2
map: tests/4.in
run_time 0.000950
n_generations: 1000
n_threads: 2
map: tests/5.in
run_time 0.001141
n_generations: 1000
n_threads: 2
map: tests/6.in
run_time 0.000924
n_generations: 1000
n_threads: 2
map: tests/7.in
run_time 0.034526
n_generations: 1000
n_threads: 2
map: tests/8.in
run_time 0.034861
n_generations: 1000
n_threads: 2
map: tests/9.in
run_time 0.033908
n_generations: 1000
n_threads: 2
map: tests/10.in
run_time 0.040567
n_generations: 1000
n_threads: 2
map: tests/11.in
run_time 0.165758
n_generations: 1000
n_threads: 2
map: tests/12.in
run_time 1.294532
n_generations: 1000
n_threads: 4
map: tests/1.in
run_time 0.001348
n_generations: 1000
n_threads: 4
map: tests/2.in
run_time 0.001495
n_generations: 1000
n_threads: 4
map: tests/3.in
run_time 0.017976
n_generations: 1000
n_threads: 4
map: tests/4.in
run_time 0.000992
n_generations: 1000
n_threads: 4
map: tests/5.in
run_time 0.001680
n_generations: 1000
n_threads: 4
map: tests/6.in
run_time 0.000872
n_generations: 1000
n_threads: 4
map: tests/7.in
run_time 0.023872
n_generations: 1000
n_threads: 4
map: tests/8.in
run_time 0.024957
n_generations: 1000
n_threads: 4
map: tests/9.in
run_time 0.024084
n_generations: 1000
n_threads: 4
map: tests/10.in
run_time 0.036574
n_generations: 1000
n_threads: 4
map: tests/11.in
run_time 0.121898
n_generations: 1000
n_threads: 4
map: tests/12.in
run_time 0.768614
n_generations: 1000
n_threads: 8
map: tests/1.in
run_time 0.002038
n_generations: 1000
n_threads: 8
map: tests/2.in
run_time 0.007401
n_generations: 1000
n_threads: 8
map: tests/3.in
run_time 0.019436
n_generations: 1000
n_threads: 8
map: tests/4.in
run_time 0.002962
n_generations: 1000
n_threads: 8
map: tests/5.in
run_time 0.007391
n_generations: 1000
n_threads: 8
map: tests/6.in
run_time 0.005778
n_generations: 1000
n_threads: 8
map: tests/7.in
run_time 0.040073
n_generations: 1000
n_threads: 8
map: tests/8.in
run_time 0.038918
n_generations: 1000
n_threads: 8
map: tests/9.in
run_time 0.034909
n_generations: 1000
n_threads: 8
map: tests/10.in
run_time 0.033150
n_generations: 1000
n_threads: 8
map: tests/11.in
run_time 0.092718
n_generations: 1000
n_threads: 8
map: tests/12.in
run_time 0.705098
n_generations: 1000
n_threads: 16
map: tests/1.in
run_time 0.043857
n_generations: 1000
n_threads: 16
map: tests/2.in
run_time 0.045367
n_generations: 1000
n_threads: 16
map: tests/3.in
run_time 0.057884
n_generations: 1000
n_threads: 16
map: tests/4.in
run_time 0.050289
n_generations: 1000
n_threads: 16
map: tests/5.in
run_time 0.045141
n_generations: 1000
n_threads: 16
map: tests/6.in
run_time 0.047663
n_generations: 1000
n_threads: 16
map: tests/7.in
run_time 0.091518
n_generations: 1000
n_threads: 16
map: tests/8.in
run_time 0.101626
n_generations: 1000
n_threads: 16
map: tests/9.in
run_time 0.085619
n_generations: 1000
n_threads: 16
map: tests/10.in
run_time 0.066258
n_generations: 1000
n_threads: 16
map: tests/11.in
run_time 0.143902
n_generations: 1000
n_threads: 16
map: tests/12.in
run_time 1.015895
n_generations: 5000
n_threads: 1
map: tests/1.in
run_time 0.005909
n_generations: 5000
n_threads: 1
map: tests/2.in
run_time 0.007774
n_generations: 5000
n_threads: 1
map: tests/3.in
run_time 0.295453
n_generations: 5000
n_threads: 1
map: tests/4.in
run_time 0.003066
n_generations: 5000
n_threads: 1
map: tests/5.in
run_time 0.005588
n_generations: 5000
n_threads: 1
map: tests/6.in
run_time 0.002619
n_generations: 5000
n_threads: 1
map: tests/7.in
run_time 0.330173
n_generations: 5000
n_threads: 1
map: tests/8.in
run_time 0.338687
n_generations: 5000
n_threads: 1
map: tests/9.in
run_time 0.324692
n_generations: 5000
n_threads: 1
map: tests/10.in
run_time 0.364963
n_generations: 5000
n_threads: 1
map: tests/11.in
run_time 1.484706
n_generations: 5000
n_threads: 1
map: tests/12.in
run_time 12.701914
n_generations: 5000
n_threads: 2
map: tests/1.in
run_time 0.005190
n_generations: 5000
n_threads: 2
map: tests/2.in
run_time 0.005529
n_generations: 5000
n_threads: 2
map: tests/3.in
run_time 0.161002
n_generations: 5000
n_threads: 2
map: tests/4.in
run_time 0.005203
n_generations: 5000
n_threads: 2
map: tests/5.in
run_time 0.006795
n_generations: 5000
n_threads: 2
map: tests/6.in
run_time 0.004572
n_generations: 5000
n_threads: 2
map: tests/7.in
run_time 0.214431
n_generations: 5000
n_threads: 2
map: tests/8.in
run_time 0.230383
n_generations: 5000
n_threads: 2
map: tests/9.in
run_time 0.232598
n_generations: 5000
n_threads: 2
map: tests/10.in
run_time 0.261319
n_generations: 5000
n_threads: 2
map: tests/11.in
run_time 1.055520
n_generations: 5000
n_threads: 2
map: tests/12.in
run_time 8.356177
n_generations: 5000
n_threads: 4
map: tests/1.in
run_time 0.007903
n_generations: 5000
n_threads: 4
map: tests/2.in
run_time 0.009532
n_generations: 5000
n_threads: 4
map: tests/3.in
run_time 0.106511
n_generations: 5000
n_threads: 4
map: tests/4.in
run_time 0.005769
n_generations: 5000
n_threads: 4
map: tests/5.in
run_time 0.010413
n_generations: 5000
n_threads: 4
map: tests/6.in
run_time 0.006157
n_generations: 5000
n_threads: 4
map: tests/7.in
run_time 0.186463
n_generations: 5000
n_threads: 4
map: tests/8.in
run_time 0.175155
n_generations: 5000
n_threads: 4
map: tests/9.in
run_time 0.170954
n_generations: 5000
n_threads: 4
map: tests/10.in
run_time 0.171007
n_generations: 5000
n_threads: 4
map: tests/11.in
run_time 0.704201
n_generations: 5000
n_threads: 4
map: tests/12.in
run_time 5.607425
n_generations: 5000
n_threads: 8
map: tests/1.in
run_time 0.095938
n_generations: 5000
n_threads: 8
map: tests/2.in
run_time 0.052389
n_generations: 5000
n_threads: 8
map: tests/3.in
run_time 0.113757
n_generations: 5000
n_threads: 8
map: tests/4.in
run_time 0.010493
n_generations: 5000
n_threads: 8
map: tests/5.in
run_time 0.015723
n_generations: 5000
n_threads: 8
map: tests/6.in
run_time 0.009203
n_generations: 5000
n_threads: 8
map: tests/7.in
run_time 0.247589
n_generations: 5000
n_threads: 8
map: tests/8.in
run_time 0.248012
n_generations: 5000
n_threads: 8
map: tests/9.in
run_time 0.240733
n_generations: 5000
n_threads: 8
map: tests/10.in
run_time 0.151946
n_generations: 5000
n_threads: 8
map: tests/11.in
run_time 0.628261
n_generations: 5000
n_threads: 8
map: tests/12.in
run_time 5.209161
n_generations: 5000
n_threads: 16
map: tests/1.in
run_time 0.362998
n_generations: 5000
n_threads: 16
map: tests/2.in
run_time 0.317685
n_generations: 5000
n_threads: 16
map: tests/3.in
run_time 0.397133
n_generations: 5000
n_threads: 16
map: tests/4.in
run_time 0.316056
n_generations: 5000
n_threads: 16
map: tests/5.in
run_time 0.308753
n_generations: 5000
n_threads: 16
map: tests/6.in
run_time 0.304286
n_generations: 5000
n_threads: 16
map: tests/7.in
run_time 0.553104
n_generations: 5000
n_threads: 16
map: tests/8.in
run_time 0.580181
n_generations: 5000
n_threads: 16
map: tests/9.in
run_time 0.560198
n_generations: 5000
n_threads: 16
map: tests/10.in
run_time 0.451250
n_generations: 5000
n_threads: 16
map: tests/11.in
run_time 0.988296
n_generations: 5000
n_threads: 16
map: tests/12.in
run_time 6.574269
n_generations: 10000
n_threads: 1
map: tests/1.in
run_time 0.016254
n_generations: 10000
n_threads: 1
map: tests/2.in
run_time 0.019980
n_generations: 10000
n_threads: 1
map: tests/3.in
run_time 0.653583
n_generations: 10000
n_threads: 1
map: tests/4.in
run_time 0.006581
n_generations: 10000
n_threads: 1
map: tests/5.in
run_time 0.012362
n_generations: 10000
n_threads: 1
map: tests/6.in
run_time 0.004997
n_generations: 10000
n_threads: 1
map: tests/7.in
run_time 0.740517
n_generations: 10000
n_threads: 1
map: tests/8.in
run_time 0.752872
n_generations: 10000
n_threads: 1
map: tests/9.in
run_time 0.715427
n_generations: 10000
n_threads: 1
map: tests/10.in
run_time 0.791617
n_generations: 10000
n_threads: 1
map: tests/11.in
run_time 3.248844
n_generations: 10000
n_threads: 1
map: tests/12.in
run_time 25.541915
n_generations: 10000
n_threads: 2
map: tests/1.in
run_time 0.011371
n_generations: 10000
n_threads: 2
map: tests/2.in
run_time 0.011371
n_generations: 10000
n_threads: 2
map: tests/3.in
run_time 0.332421
n_generations: 10000
n_threads: 2
map: tests/4.in
run_time 0.011335
n_generations: 10000
n_threads: 2
map: tests/5.in
run_time 0.013507
n_generations: 10000
n_threads: 2
map: tests/6.in
run_time 0.010015
n_generations: 10000
n_threads: 2
map: tests/7.in
run_time 0.445714
n_generations: 10000
n_threads: 2
map: tests/8.in
run_time 0.465305
n_generations: 10000
n_threads: 2
map: tests/9.in
run_time 0.457795
n_generations: 10000
n_threads: 2
map: tests/10.in
run_time 0.509543
n_generations: 10000
n_threads: 2
map: tests/11.in
run_time 2.070772
n_generations: 10000
n_threads: 2
map: tests/12.in
run_time 16.019915
n_generations: 10000
n_threads: 4
map: tests/1.in
run_time 0.016552
n_generations: 10000
n_threads: 4
map: tests/2.in
run_time 0.019169
n_generations: 10000
n_threads: 4
map: tests/3.in
run_time 0.217926
n_generations: 10000
n_threads: 4
map: tests/4.in
run_time 0.012447
n_generations: 10000
n_threads: 4
map: tests/5.in
run_time 0.022156
n_generations: 10000
n_threads: 4
map: tests/6.in
run_time 0.012805
n_generations: 10000
n_threads: 4
map: tests/7.in
run_time 0.354311
n_generations: 10000
n_threads: 4
map: tests/8.in
run_time 0.362817
n_generations: 10000
n_threads: 4
map: tests/9.in
run_time 0.351719
n_generations: 10000
n_threads: 4
map: tests/10.in
run_time 0.343755
n_generations: 10000
n_threads: 4
map: tests/11.in
run_time 1.357247
n_generations: 10000
n_threads: 4
map: tests/12.in
run_time 10.834174
n_generations: 10000
n_threads: 8
map: tests/1.in
run_time 0.023217
n_generations: 10000
n_threads: 8
map: tests/2.in
run_time 0.020330
n_generations: 10000
n_threads: 8
map: tests/3.in
run_time 0.239386
n_generations: 10000
n_threads: 8
map: tests/4.in
run_time 0.022934
n_generations: 10000
n_threads: 8
map: tests/5.in
run_time 0.022237
n_generations: 10000
n_threads: 8
map: tests/6.in
run_time 0.022211
n_generations: 10000
n_threads: 8
map: tests/7.in
run_time 0.482890
n_generations: 10000
n_threads: 8
map: tests/8.in
run_time 0.477132
n_generations: 10000
n_threads: 8
map: tests/9.in
run_time 0.478680
n_generations: 10000
n_threads: 8
map: tests/10.in
run_time 0.309724
n_generations: 10000
n_threads: 8
map: tests/11.in
run_time 1.252563
n_generations: 10000
n_threads: 8
map: tests/12.in
run_time 10.089278
n_generations: 10000
n_threads: 16
map: tests/1.in
run_time 0.663741
n_generations: 10000
n_threads: 16
map: tests/2.in
run_time 0.642778
n_generations: 10000
n_threads: 16
map: tests/3.in
run_time 0.804577
n_generations: 10000
n_threads: 16
map: tests/4.in
run_time 0.628090
n_generations: 10000
n_threads: 16
map: tests/5.in
